Stream Name,Supply,Target,Cp,U
Cooled Product-1,363.4,171.32,6.391,0.748590663
Cooled Product-2,171.32,89,32.083,0.748590663
Cooled Water Stream,165.3,30,3.42,2.34295
Feed To Column2-1,156.8,154.98,42.071,1.79
Feed To Column2-2,154.98,139,6.831,1.79
T-101 Condenser,128.59,126.04,877.923,4.5
T-100 Condenser,48.39,45.9,806.572,4.5
DME Final Product,45.9,30,4.523,1
Heated Methanol-1,43.07,146.54,15.627,0.806375
Heated Methanol-2,146.54,167.23,144.985,0.806375
Heated Methanol-3,167.23,250,6.236,0.806375
T-101 Reboiler,163.37,165.28,1228.698,2.1
T-100 Reboiler,161.21,165.74,342.964,2.1
HP Steam,254,253.9,5051.2,2.1
MP Steam,184,183.9,53570,2.1
Cooling Water,30,45,303.33,2.5
Refrigerated Water,5,15,111.5,2.5
